1,Анджелина Джоли,"<h1>Анджелина Джоли</h1> (англ. Angelina Jolie[7], при рождении Войт (англ. Voight), ранее Джоли Питт (англ. Jolie Pitt); род. 4 июня 1975, Лос-Анджелес, Калифорния, США) — американская актриса кино, телевидения и озвучивания, кинорежиссёр, сценаристка, продюсер, фотомодель, посол доброй воли ООН.

Обладательница премии «Оскар», трёх премий «Золотой глобус» (первая актриса в истории, три года подряд выигравшая премию) и двух «Премий Гильдии киноактёров США».

Дебютировала в кино в 1982 году, сыграв роль в комедийном фильме «В поисках выхода» (где снимались также её отец и мать)[8], однако известность получила после того, как сыграла героиню видеоигр Лару Крофт в фильмах «Лара Крофт: Расхитительница гробниц» и «Лара Крофт: Расхитительница гробниц 2 — Колыбель жизни».

В 2009, 2011 и 2013 годах по версии журнала Forbes Джоли была названа самой высокооплачиваемой актрисой Голливуда[9][10].

Её наиболее успешными с коммерческой стороны фильмами стали «Малефисента» (сборы в мировом прокате — 758 миллионов долларов США), «Мистер и миссис Смит» (сборы в мировом прокате — 478 миллионов долларов США), «Особо опасен» (341 миллион долларов США), «Солт» (293 миллиона долларов США), а также «Турист» (278 миллионов долларов США), «Лара Крофт: Расхитительница гробниц» (274 миллиона долларов США) и картина с участием Николаса Кейджа «Угнать за 60 секунд» (237 миллионов долларов США).",,2022-12-27 12:15:18.673222,2022-12-27 12:15:18.673222,1
2,Марго Робби,"Марго Элис Робби родилась 2 июля 1990 года в городе Дэлби, штат Квинсленд, Австралия[3]. Она третья из четырёх детей фермера Майка Робби и физиотерапевта Сари Кесслер[4][5]. Детство Марго провела в Голд-Косте на ферме дедушки и бабушки, и в доме родителей в Саутпорте[3]. У неё есть старший брат Лахлен, младший брат Кэмерон и старшая сестра Аня[6][7]. В 2007 году Марго окончила колледж Саммерсет в родном городе[8], а затем в 17 лет переехала в Мельбурн, где начала актёрскую карьеру[9].

Марго начала свою актёрскую карьеру в 2007 году, снявшись в фильмах «Я вижу тебя» (вышел в 2009 году) и «Виджиланте» (вышел в 2008 году)[10]. Затем она появилась в эпизоде австралийского детективного сериала «Отдел убийств», а также двух эпизодах сериала «Принцесса слонов». В июне 2008 года присоединилась к сериалу «Соседи», в котором снималась до января 2011 года[11][12]. За роль Донны Фридмен в нём она дважды (в 2009 и 2011 году) была номинирована на премию «Logie Awards»[13][14].

Марго на вручении премии Logie Awards 2011. После переезда в Лос-Анджелес, Марго получила одну из главных ролей в сериале «Пан Американ»[15], в котором снималась в течение одного сезона с 2011 по 2012 год[16][17]. В 2013 году она снялась в фильмах «Бойфренд из будущего» и «Волк с Уолл-стрит»[18]. За роль в последнем Марго получила премию «Империя» в категории «Лучший женский дебют»[19], а также была номинирована ещё на несколько премий.Перейти к разделу «#Награды и номинации»

В 2014 году она снялась в фильме «Французская сюита»[20]. В 2015 году Робби сыграла в фильмах «Z — значит Захария»[21], «Фокус»[22], а также появилась камео в фильме «Игра на понижение»[23]. В том же году она была номинирована на премию BAFTA в категории «Восходящая звезда»[24]. В 2016 году вышли три фильма с участием Марго — «Тарзан. Легенда»[25], «Репортёрша»[26] и «Отряд самоубийц», в котором она сыграла роль Харли Квинн[27]. В 2017 году вышли два новых фильма с участием Робби — «Прощай, Кристофер Робин»[28] и «Тоня против всех», в котором Марго сыграла американскую фигуристку Тоню Хардинг[29].

Вошла в число ста наиболее влиятельных людей 2017 года по версии журнала Time[30][31].

В 2018 году Марго появилась в фильмах «Кролик Питер»[32], «Конченая»[33] и «Две королевы»[34].

В 2019 году состоялись релизы трёх фильмов с её участием — «Страна грёз»[35], «Однажды в… Голливуде»[36] и «Скандал»[37].

В 2020 году вышел фильм «Хищные птицы. Потрясающая история Харли Квинн», в котором Марго вернулась к роли Харли Квинн.

В 2021 году выйдёт фильм «Кролик Питер 2», в котором Марго снова озвучит Флопси[38].

В мае 2016 года Робби стала лицом аромата Calvin Klein Deep Euphoria[39].

В 2017 году Марго снялась в рекламе электромобилей Nissan[40].

В феврале 2018 года Робби стала послом бренда Chanel[41]. Она стала последним послом бренда, выбранным Карлом Лагерфельдом перед его смертью в феврале 2019 года. Позже Марго стала лицом компании Gabrielle Chanel Essence[42].

В январе 2020 года перед церемонией вручения премии «Золотой глобус» Марго в своём Instagram-аккаунте призвала людей пожертвовать деньги в помощь пожарным и жертвам лесных пожаров в Австралии[43].

После переезда из Австралии в США, несколько лет жила в Нью-Йорке[44]. Позже переехала в Лондон, где на съёмках фильма «Французская сюита» познакомилась с ассистентом режиссёра Томом Акерли[45][46]. В декабре 2016 года Робби и Акерли поженились после трёх лет отношений[47]. В апреле 2017 года стало известно, что пара строит планы по рождению первенца[48][49][50][51].",,2022-12-27 12:23:41.057191,2022-12-27 13:02:28.342283,1
